172,SNT다이내믹스,"62,300","1,200",-1.89%,"2,500","20,716","33,253",7.43,"51,616",25.26,12.90,
173,팬오션,"3,870",25,-0.64%,"1,000","20,688","534,570",16.27,"237,760",7.06,5.17,
174,TIGER 머니마켓액티브,"101,100",10,+0.01%,0,"20,409","20,187",0.00,"105,566",N/A,N/A,
175,이마트,"71,700",200,+0.28%,"5,000","19,786","27,596",22.87,"62,164",-4.41,-5.40,
176,DB하이텍,"44,200",100,-0.23%,"5,000","19,624","44,399",28.88,"45,997",8.66,12.44,
177,BGF리테일,"113,300","1,700",-1.48%,"1,000","19,583","17,284",28.64,"15,148",10.91,17.29,
178,아시아나항공,"9,430",30,+0.32%,"5,000","19,425","205,991",2.88,"19,445",9.25,-53.21,
179,CJ대한통운,"82,400",300,-0.36%,"5,000","18,797","22,812",14.03,"19,457",7.99,6.58,
180,파라다이스,"20,100",550,-2.66%,500,"18,527","92,175",11.62,"793,631",21.18,4.97,
181,동원산업,"41,800",900,-2.11%,"1,000","18,454","44,148",5.00,"18,634",14.15,2.74,
182,한솔케미칼,"162,600","3,100",+1.94%,"5,000","18,431","11,335",35.96,"28,101",13.17,13.48,
183,롯데쇼핑,"65,100","1,200",-1.81%,"5,000","18,416","28,289",8.95,"57,406",-1.92,-7.75,
184,호텔신라,"45,700",750,-1.61%,"5,000","17,936","39,248",12.52,"113,043",-19.36,-6.50,
185,한국콜마,"75,300",600,-0.79%,500,"17,775","23,605",38.52,"165,159",18.31,12.50,
186,영원무역홀딩스,"131,300","1,600",-1.20%,500,"17,724","13,499",21.30,"7,829",6.62,13.17,
187,엠앤씨솔루션,"193,400",400,+0.21%,100,"17,704","9,154",8.08,"15,232",44.10,21.82,
188,씨에스윈드,"41,500",150,+0.36%,500,"17,501","42,171",12.88,"73,049",8.43,13.92,
189,STX엔진,"43,500",350,-0.80%,"2,500","17,464","40,148",6.90,"1,802,193",27.38,10.15,
190,HJ중공업,"20,900",350,-1.65%,"5,000","17,404","83,274",3.09,"27,434,902",55.44,1.56,
191,KODEX 코스닥150레버리지,"8,655",105,+1.23%,0,"17,232","199,100",0.21,"10,673,525",N/A,N/A,
192,TIGER 25-10 회사채(A+이상)액티브,"55,340",0,0.00%,0,"17,151","30,992",0.17,"40,697",N/A,N/A,
193,두산퓨얼셀,"26,100",0,0.00%,100,"17,094","65,494",10.94,"873,364",-94.57,N/A,
194,ACE 미국나스닥100,"24,840",35,+0.14%,0,"17,040","68,600",0.24,"254,960",N/A,N/A,
195,TIGER 차이나전기차SOLACTIVE,"10,735",50,-0.46%,0,"16,940","157,800",0.87,"1,087,425",N/A,N/A,
196,일진전기,"35,400",100,-0.28%,"1,000","16,881","47,685",10.55,"283,210",25.56,10.60,
197,KODEX 200선물인버스2X,"1,324",26,-1.93%,0,"16,811","1,269,700",2.19,"283,273,486",N/A,N/A,
198,한국카본,"32,250",150,+0.47%,500,"16,740","51,908",11.89,"233,614",26.63,4.38,
199,HL만도,"35,100",550,-1.54%,"1,000","16,482","46,957",23.77,"80,636",90.23,5.47,
200,OCI홀딩스,"86,600",600,+0.70%,"5,000","16,294","18,815",16.82,"34,273",-9.60,2.54,
